zCMB MU MUERR_FINAL
0.21942 39.94190 0.18230
0.34895 41.31700 0.15000
0.87001 43.33850 0.18820
0.53042 42.60840 0.17870
0.57193 42.55330 0.13120
0.25308 40.47720 0.16730
0.76495 43.35310 314.70000
0.47780 42.22580 0.14560
0.42391 41.85140 0.11040
0.75249 43.11550 0.16790
0.52716 42.12390 0.16220
0.58740 42.65010 0.13380
0.20268 40.76950 53.11580
0.23171 40.15190 0.17350
1.02836 44.26980 1.05930
0.79229 43.38740 0.13260
0.64527 43.18300 0.15560
0.67783 42.99980 0.16420
0.62618 43.16530 0.18310
0.35921 41.37930 0.13320
0.58838 42.82560 0.25220
0.49592 42.47050 0.14300
0.52562 42.21350 0.12820
0.32869 41.60490 0.21790
0.77159 43.63030 0.26510
0.60491 42.91770 0.26550
0.47429 42.08070 0.20130
0.65274 43.41840 0.25100
0.17978 39.69750 0.14880
0.66788 42.89510 0.14570
0.81825 43.67480 0.15820
0.79547 43.26920 0.17730
1.02468 44.31530 0.20170
0.65241 42.94420 0.14100
0.77004 43.33620 0.14380
0.25904 40.50930 0.13500
0.68455 43.28220 0.18870
0.56262 42.59510 0.15210
0.63502 42.75590 0.16980
0.45354 42.07960 0.16400
0.76177 43.50230 0.17030
0.21711 40.15200 0.17630
0.42989 41.68870 0.10820
0.51882 42.51690 0.24980
0.52971 42.28960 0.13290
0.75421 43.42280 0.18030
0.58126 42.64060 0.15480
0.21883 40.13270 0.10830
0.40476 41.63060 0.13800
0.55993 42.45860 0.12910
0.74126 43.48910 0.17610
0.65866 42.97160 0.15000
0.29887 41.08950 0.14620
0.61633 43.01850 0.16410
0.25286 40.73300 0.20320
0.68972 43.21860 0.14150
0.49263 42.29330 0.26450
0.61935 42.74990 0.15640
0.89888 43.64930 0.14970
0.49559 42.27920 0.14170
0.83293 43.48450 0.13170
0.32572 41.12110 0.10360
0.62740 43.21630 0.15430
0.27589 40.55480 0.39820
0.47328 42.28850 0.15580
0.56997 42.88790 0.24730
0.34196 41.31980 0.18700
0.60092 42.77760 0.17600
0.64663 43.08840 0.17090
0.60631 42.84000 0.18580
0.72220 42.98670 0.11460
0.32858 41.15490 0.11180
0.60864 42.60010 0.13610
0.33239 41.06570 0.12590
0.45478 41.98740 0.16410
0.15063 39.62600 0.21230
0.36101 41.54270 0.20780
0.40911 41.95980 0.23200
0.44638 41.82340 0.19770
0.42044 41.58690 0.13130
0.42089 41.68960 0.15340
0.55145 42.35280 0.19440
0.54674 42.46750 0.23500
0.44808 42.37810 0.30580
0.42199 41.63590 0.17990
0.70351 42.89570 0.16210
0.41113 41.61810 0.20430
0.52527 42.04800 0.16840
0.74061 43.54340 0.24040
0.35948 41.50090 0.10400
0.92146 44.11310 0.28620
0.40647 41.81290 0.15020
0.32622 41.16190 0.10960
0.34157 41.07080 0.18520
0.75572 43.45960 0.22660
0.72212 43.27150 0.25790
0.64304 42.63680 0.15830
0.36704 41.25290 0.10050
0.68576 42.56340 0.46800
0.43769 42.00380 0.20280
0.21260 40.01060 0.18720
0.59629 42.53210 0.19180
0.77464 43.08950 0.18420
0.92576 44.14970 0.19400
0.26793 40.61630 0.10630
0.33472 41.18760 0.19540
0.48309 42.14680 0.19200
0.34472 42.22590 2.29930
0.74009 43.33850 0.15950
0.33352 41.09990 0.10660
0.96296 44.13350 0.21230
0.65135 43.23640 0.22730
0.45353 42.09540 0.20620
0.80954 43.71870 0.14660
1.01382 44.16210 0.23390
